keywords_merged,count
Osimertinib,82
Pyrimidines,71
Acrylamides,70
Indoles,69
Aniline Compounds,69
Lung Neoplasms,66
drug therapy,65
"Carcinoma, Non-Small-Cell Lung",59
ErbB Receptors,53
adverse effects,51
Protein Kinase Inhibitors,49
Cardiotoxicity,47
genetics,44
Mutation,39
therapeutic use,36
Antineoplastic Agents,36
heart failure,31
pathology,30
chemically induced,26
lung cancer,21
etiology,20
non-small cell lung cancer,19
pharmacology,18
antagonists & inhibitors,18
"Aged, 80 and over",17
metabolism,16
epidemiology,16
diagnosis,15
drug effects,14
NSCLC,13
